symbol,passed,failed,unknown,conditions_met,total_conditions,passes_screen,score
JMCPROJECT,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'current_ratio_healthy', 'roce_decent']",['low_debt'],[],11,12,False,70
JMDVL,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'net_profit_positive', 'low_pledging', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy']","['yoy_sales_growth', 'yoy_profit_not_declining', 'unpledged_promo_hold', 'roce_decent']",[],8,12,False,43
JMFINANCIL,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'current_ratio_healthy']","['yoy_sales_growth', 'low_debt', 'roce_decent']",[],9,12,False,56
JMGCORP,"['sales_qtr_positive', 'yoy_sales_growth', 'yoy_profit_not_declining', 'low_pledging', 'low_debt', 'current_ratio_healthy']","['pe_positive', 'eps_positive', 'net_profit_positive', 'unpledged_promo_hold', 'promo_hold_stable', 'roce_decent']",[],6,12,False,40
JMJFIN,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy', 'roce_decent']",['unpledged_promo_hold'],[],11,12,False,73
JMTAUTOLTD,"['sales_qtr_positive', 'yoy_sales_growth', 'yoy_profit_not_declining', 'promo_hold_stable']","['pe_positive', 'eps_positive', 'net_profit_positive', 'low_pledging', 'unpledged_promo_hold', 'low_debt', 'current_ratio_healthy', 'roce_decent']",[],4,12,False,25
JNKINDIA,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy', 'roce_decent']",[],[],12,12,True,85
JOCIL,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy']",['roce_decent'],[],11,12,False,71
JOHNPHARMA,"['low_pledging', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy']","['pe_positive', 'eps_positive', 'sales_qtr_positive', 'yoy_sales_growth', 'net_profit_positive', 'yoy_profit_not_declining', 'unpledged_promo_hold', 'roce_decent']",[],4,12,False,30
JOINDRE,"['pe_positive', 'eps_positive', 'sales_qtr_positive', 'net_profit_positive', 'yoy_profit_not_declining', 'low_pledging', 'unpledged_promo_hold', 'promo_hold_stable', 'low_debt', 'current_ratio_healthy', 'roce_decent']",['yoy_sales_growth'],[],11,12,False,80
